iter	Passed	Remaining
0	173	17175
1	199	9798
2	235	7608
3	273	6563
4	285	5419
5	317	4970
6	346	4603
7	378	4347
8	408	4132
9	415	3735
10	442	3582
11	461	3382
12	465	3117
13	493	3032
14	522	2960
15	554	2913
16	585	2859
17	617	2811
18	645	2753
19	675	2700
20	705	2652
21	733	2601
22	763	2556
23	790	2504
24	821	2463
25	849	2418
26	877	2373
27	905	2329
28	932	2281
29	960	2242
30	988	2200
31	1019	2165
32	1049	2130
33	1080	2096
34	1110	2062
35	1139	2025
36	1168	1988
37	1197	1954
38	1224	1915
39	1255	1883
40	1286	1851
41	1315	1817
42	1348	1787
43	1379	1755
44	1409	1723
45	1439	1689
46	1468	1656
47	1500	1625
48	1528	1591
49	1559	1559
50	1583	1521
51	1608	1484
52	1630	1445
53	1652	1407
54	1676	1371
55	1697	1334
56	1726	1302
57	1754	1270
58	1784	1239
59	1812	1208
60	1842	1178
61	1874	1148
62	1905	1119
63	1936	1089
64	1968	1060
65	1999	1029
66	2027	998
67	2056	967
68	2085	937
69	2113	905
70	2142	875
71	2171	844
72	2197	812
73	2224	781
74	2254	751
75	2281	720
76	2309	689
77	2337	659
78	2365	628
79	2393	598
80	2424	568
81	2450	537
82	2473	506
83	2501	476
84	2524	445
85	2552	415
86	2580	385
87	2606	355
88	2611	322
89	2638	293
90	2664	263
91	2687	233
92	2714	204
93	2740	174
94	2768	145
95	2796	116
96	2823	87
97	2849	58
98	2879	29
99	2905	0
